                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.2484,                 2.2047,                 2.0132,                 1.8026,                0.28574,                0.50647,                0.40772,                0.27104,                0.29076,                0.49829,                0.39109,                0.28243,                 1.4095,                 2.0831,                 1.9218,                 1.9651,               0.005545,               0.005545,               0.005545
                     47,                 1.2381,                 2.1806,                 1.9917,                 1.7869,                0.31454,                0.52916,                0.44093,                0.30005,                0.30012,                0.51519,                0.42769,                0.31185,                 1.4165,                 2.0437,                 1.8743,                 2.0209,               0.005446,               0.005446,               0.005446
                     48,                  1.219,                 2.1932,                 1.9957,                 1.7842,                0.42195,                0.51054,                0.46675,                0.31503,                0.41595,                0.49879,                0.44647,                0.31922,                 1.3731,                 2.0655,                 1.8246,                 1.9411,               0.005347,               0.005347,               0.005347
                     49,                 1.2278,                 2.1511,                 1.9856,                 1.7773,                0.46263,                0.48354,                0.46574,                0.30337,                0.46253,                0.47628,                0.44563,                0.30311,                 1.4019,                 2.1975,                 1.9241,                 2.0017,               0.005248,               0.005248,               0.005248
                     50,                 1.2108,                 2.1519,                 1.9827,                 1.7814,                0.35319,                0.50898,                0.44401,                 0.2889,                0.33513,                0.49388,                0.41306,                0.30161,                 1.3564,                 2.0163,                 1.8865,                 1.9284,               0.005149,               0.005149,               0.005149
                     51,                 1.1903,                 2.1203,                 1.9424,                 1.7501,                 0.4353,                 0.4984,                0.45231,                0.29607,                0.43982,                0.48918,                0.43708,                0.30932,                 1.4168,                 2.0767,                 1.8849,                 1.9991,                0.00505,                0.00505,                0.00505
                     52,                 1.2087,                 2.1312,                 1.9352,                 1.7635,                0.51815,                0.46857,                0.45265,                0.30532,                 0.5139,                 0.4654,                0.44494,                0.31237,                 1.3688,                 2.0173,                 1.8179,                 1.9592,               0.004951,               0.004951,               0.004951
                     53,                 1.1911,                 2.1599,                 1.9012,                 1.7533,                0.50576,                0.39709,                0.43925,                0.29327,                0.49807,                0.39345,                0.42399,                0.29531,                 1.3895,                  2.108,                 1.9391,                 2.0199,               0.004852,               0.004852,               0.004852
                     54,                 1.2058,                 2.1701,                 1.9476,                 1.7596,                0.38597,                0.45039,                0.46739,                0.31689,                0.38542,                0.44615,                0.45547,                0.32392,                 1.3669,                 2.0794,                  1.952,                 1.9548,               0.004753,               0.004753,               0.004753
                     55,                 1.1721,                  2.121,                 1.9438,                  1.759,                0.35436,                0.55388,                0.44947,                  0.301,                0.34223,                0.54314,                0.42779,                0.30039,                   1.36,                 2.1891,                 1.8398,                 1.9711,               0.004654,               0.004654,               0.004654
