                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                  1.234,                 2.3821,                 1.9893,                 1.5192,                0.16142,                 0.2144,                0.15615,                0.10538,                0.16283,                0.21424,                0.15694,                0.09469,                 1.7048,                  3.036,                  3.488,                 2.1547,               0.004159,               0.004159,               0.004159
                     61,                 1.1881,                 2.3024,                 1.9573,                 1.4955,                0.07687,                0.53943,                0.10958,                0.06869,                0.07439,                0.51154,                0.10367,                0.05626,                 1.8631,                 3.5604,                 3.9158,                 2.4287,                0.00406,                0.00406,                0.00406
                     62,                 1.1997,                 2.3766,                 1.9691,                 1.4752,                0.08085,                0.55727,                0.13193,                0.09538,                0.07883,                0.54382,                0.12868,                0.08957,                 1.7506,                 2.9385,                 3.7187,                 2.1949,               0.003961,               0.003961,               0.003961
                     63,                 1.2222,                 2.3415,                 1.9354,                 1.5021,                0.12702,                0.26986,                0.11715,                0.07383,                0.12745,                0.26739,                0.11533,                0.07288,                 1.9981,                 3.4998,                 3.7128,                 2.3327,               0.003862,               0.003862,               0.003862
                     64,                 1.2005,                 2.3409,                 1.9467,                  1.496,                0.16687,                0.23053,                0.15013,                0.09691,                0.16962,                0.24005,                0.14827,                0.08892,                 1.8753,                 3.2678,                  3.165,                 2.2329,               0.003763,               0.003763,               0.003763
                     65,                  1.211,                 2.3494,                 1.9481,                 1.5068,                 0.1821,                0.21519,                0.15189,                0.09283,                0.18473,                0.21523,                 0.1514,                0.08429,                  1.807,                 3.2001,                 3.0974,                 2.1804,               0.003664,               0.003664,               0.003664
                     66,                 1.1931,                 2.3162,                 1.8972,                  1.497,                0.16479,                0.30612,                0.18097,                0.10817,                0.16357,                0.30136,                0.17901,                0.10212,                  1.694,                 2.9401,                 3.1222,                 2.0566,               0.003565,               0.003565,               0.003565
                     67,                 1.1912,                 2.3223,                 1.9169,                 1.4812,                0.17258,                0.29791,                0.17015,                0.10422,                0.16405,                0.27932,                0.16417,                0.09568,                 1.7853,                 3.0435,                 3.0643,                 2.1282,               0.003466,               0.003466,               0.003466
                     68,                 1.1702,                 2.2774,                  1.862,                 1.4798,                 0.1835,                0.32874,                0.18104,                0.11426,                0.17903,                0.33081,                0.17856,                0.10762,                 1.7968,                 3.0251,                 3.2087,                 2.2044,               0.003367,               0.003367,               0.003367
                     69,                 1.2034,                 2.3148,                 1.8853,                 1.4996,                0.13073,                0.64782,                0.18281,                0.11937,                0.12975,                0.64751,                 0.1811,                0.11154,                  1.623,                 2.8708,                 3.2444,                 2.0478,               0.003268,               0.003268,               0.003268
                     70,                 1.1895,                 2.3025,                  1.886,                  1.477,                0.13363,                0.25813,                0.14795,                0.10039,                0.13487,                0.25751,                0.14856,                 0.1019,                 1.8395,                 3.0889,                 3.8729,                 2.2328,               0.003169,               0.003169,               0.003169
                     71,                 1.1741,                 2.2656,                 1.8976,                 1.4706,                0.14137,                0.23959,                0.15149,                0.09959,                0.14137,                0.23959,                0.15249,                0.09209,                 1.7474,                 3.0002,                 3.4394,                 2.1341,                0.00307,                0.00307,                0.00307
